470.421333333,470.922666667,2289.59,4051.13,'
471.296000000,471.850666667,2342.45,3959.71,'
471.989333333,472.490666667,2212.52,3870.35
472.640000000,473.194666667,2237.92,3914.77
473.386666667,473.941333333,2369.33,3783.01
474.154666667,474.709333333,2212.52,3740.08
474.880000000,475.488000000,2162.59,3783.01
475.733333333,476.277333333,2263.6,3697.64
476.448000000,476.992000000,2315.87,3783.01
477.194666667,477.749333333,2315.87,3826.43
511.056000000,511.457333333,2289.59,4097.63
511.896000000,512.437333333,2480,3959.71
512.857333333,513.389333333,2369.33,3914.77
514.313333333,514.882666667,2212.52,3697.64
526.362666667,526.876000000,2263.6,4097.63
527.165333333,527.725333333,2212.52,3870.35
