31.133333333,31.626666667,2138.05,4051.13,'
31.813333333,32.346666667,2113.79,3826.43,'
32.520000000,33.026666667,2162.59,3914.77,'
33.200000000,33.720000000,2187.42,3783.01,'
33.920000000,34.406666667,2187.42,3783.01,'
114.837333333,115.264000000,2162.59,4005.16,'
133.046666667,133.504000000,2042.65,3959.71,'
133.690666667,134.232000000,1973.9,4005.16,'
134.409333333,134.960000000,2019.47,3914.77,'
135.100000000,135.604000000,2042.65,3870.35,'
135.818666667,136.406666667,2089.81,3783.01,'
136.546666667,137.088000000,1973.9,3740.08,'
137.321333333,137.825333333,2019.47,3826.43,'
138.077333333,138.553333333,2019.47,3740.08,'
266.569333333,267.120000000,2089.81,4097.63,'
267.362666667,267.960000000,1907.46,3870.35,'
287.737333333,288.390666667,2138.05,4051.13,'
288.633333333,289.249333333,2263.6,3740.08,'
289.464000000,290.005333333,2263.6,3870.35,'
290.257333333,290.770666667,2342.45,3826.43,'
290.976000000,291.545333333,2289.59,3914.77,'
292.413333333,292.964000000,2042.65,3452.92,'
532.586666667,533.312000000,1589.11,3914.77,;
536.586666667,537.365333333,1535.62,3914.77,;
540.928000000,541.749333333,1607.35,4289.02,;
546.272000000,546.976000000,1644.46,3740.08,;
551.456000000,552.138666667,1553.25,3826.43,;
560.981333333,561.760000000,1663.33,3783.01,;
565.717333333,566.506666667,1625.79,3655.68,;
575.125333333,575.968000000,1607.35,3914.77,;
579.893333333,580.586666667,1663.33,3959.71,;
592.341333333,593.120000000,1663.33,4051.13,;
597.066666667,597.866666667,1589.11,3697.64,;
