4.788000000,5.496000000,1405.96,3861.73
12.468000000,13.272000000,1816.1,4243.62
16.704000000,17.472000000,1425.03,3861.73
25.068000000,25.836000000,1279.44,3861.73
29.712000000,30.456000000,1483.81,3914.1
38.100000000,38.820000000,1483.81,3914.1
42.144000000,42.852000000,1503.93,4075.53
48.960000000,49.704000000,1444.36,4243.62
54.612000000,55.332000000,1387.15,3759.07
167.880000000,169.320000000,6105.3,12136.6
192.528000000,193.056000000,1652.66,4021
380.088000000,381.048000000,1387.15,4021
409.448000000,410.200000000,1463.95,3861.73
422.104000000,422.936000000,1350.27,4075.53
440.496000000,441.208000000,1425.03,4243.62
448.488000000,449.192000000,1332.21,3914.1
455.736000000,456.504000000,1405.96,4130.81
483.768000000,484.464000000,1332.21,4186.84
492.672000000,493.360000000,1228.76,4600.88
508.384000000,509.176000000,1405.96,4130.81
514.096000000,514.888000000,1503.93,4075.53
520.784000000,521.408000000,1425.03,4021
526.896000000,527.584000000,1296.79,4075.53
534.752000000,535.512000000,1463.95,3967.19
541.480000000,542.232000000,1332.21,4359.52
546.976000000,547.616000000,1296.79,4021
578.400000000,579.112000000,1405.96,4130.81
585.128000000,585.816000000,1545,4478.57,;
