362.133333333,362.880000000,319.177,407.348
364.336000000,365.194666667,310.148,425.265
366.576000000,367.397333333,323.79,450.387
440.720000000,441.914666667,305.729,443.971
443.146666667,444.266666667,305.729,443.971
445.349333333,446.506666667,305.729,443.971
517.733333333,518.320000000,314.63,431.411
519.866666667,520.613333333,310.148,483.886
522.204000000,522.888000000,310.148,463.499
546.429333333,547.493333333,314.63,443.971
549.117333333,549.864000000,310.148,437.646
551.394666667,552.048000000,310.148,456.896
587.392000000,588.144000000,305.729,476.992
589.584000000,590.368000000,297.081,450.387
591.840000000,592.656000000,319.177,470.197
