229.213333333,230.013333333,1518.19,4240.35,;
235.613333333,236.333333333,1483.93,4097.63,;
244.053333333,244.826666667,1761,4438.4,;
251.813333333,252.746666667,1864.41,4240.35,;
287.152000000,287.936000000,1822.34,4289.02
317.202666667,317.688000000,2655.77,3914.77,'
317.920000000,318.424000000,2843.99,3783.01,'
318.656000000,319.240000000,2811.72,3870.35,'
319.560000000,320.056000000,2779.81,3870.35,'
320.288000000,320.832000000,2843.99,3870.35,'
321.048000000,321.584000000,2811.72,3740.08,'
321.824000000,322.480000000,2909.65,3826.43,'
322.664000000,323.176000000,2909.65,3783.01,'
323.488000000,323.968000000,2779.81,3740.08,'
324.224000000,324.712000000,2976.83,3783.01,'
